img_path,label
dataset/Human Faces Dataset\AI-Generated Images\000001.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000002.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000003.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000004.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000005.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000006.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000007.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000008.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000009.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000010.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000011.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000012.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000013.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000014.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000015.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000016.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000017.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000018.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000019.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000020.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000021.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000022.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000023.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000024.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000025.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000026.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000027.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000028.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000029.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000030.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000031.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000032.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000033.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000034.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000035.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000036.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000037.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000038.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000039.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000040.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000041.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000042.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000043.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000044.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000045.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000046.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000047.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000048.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000049.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000050.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000051.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000052.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000053.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000054.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000055.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000056.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000057.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000058.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000059.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000060.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000061.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000062.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000063.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000064.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000065.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000066.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000067.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000068.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000069.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000070.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000071.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000072.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000073.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000074.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000075.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000076.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000077.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000078.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000079.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000080.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000081.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000082.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000083.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000084.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000085.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000086.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000087.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000088.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000089.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000090.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000091.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000092.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000093.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000094.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000095.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000096.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000097.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000098.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000099.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000100.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000101.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000102.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000103.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000104.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000105.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000106.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000107.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000108.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000109.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000110.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000111.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000112.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000113.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000114.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000115.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000116.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000117.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000118.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000119.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000120.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000121.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000122.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000123.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000124.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000125.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000126.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000127.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000128.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000129.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000130.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000131.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000132.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000133.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000134.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000135.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000136.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000137.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000138.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000139.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000140.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000141.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000142.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000143.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000144.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000145.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000146.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000147.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000148.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000149.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000150.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000151.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000152.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000153.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000154.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000155.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000156.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000157.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000158.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000159.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000160.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000161.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000162.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000163.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000164.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000165.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000166.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000167.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000168.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000169.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000170.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000171.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000172.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000173.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000174.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000175.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000176.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000177.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000178.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000179.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000180.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000181.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000182.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000183.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000184.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000185.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000186.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000187.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000188.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000189.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000190.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000191.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000192.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000193.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000194.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000195.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000196.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000197.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000198.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000199.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000200.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000201.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000202.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000203.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000204.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000205.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000206.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000207.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000208.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000209.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000210.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000211.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000212.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000213.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000214.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000215.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000216.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000217.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000218.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000219.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000220.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000221.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000222.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000223.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000224.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000225.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000226.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000227.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000228.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000229.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000230.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000231.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000232.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000233.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000234.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000235.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000236.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000237.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000238.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000239.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000240.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000241.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000242.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000243.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000244.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000245.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000246.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000247.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000248.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000249.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000250.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000251.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000252.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000253.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000254.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000255.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000256.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000257.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000258.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000259.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000260.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000261.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000262.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000263.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000264.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000265.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000266.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000267.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000268.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000269.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000270.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000271.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000272.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000273.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000274.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000275.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000276.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000277.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000278.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000279.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000280.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000281.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000282.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000283.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000284.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000285.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000286.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000287.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000288.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000289.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000290.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000291.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000292.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000293.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000294.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000295.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000296.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000297.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000298.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000299.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000300.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000301.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000302.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000303.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000304.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000305.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000306.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000307.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000308.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000309.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000310.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000311.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000312.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000313.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000314.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000315.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000316.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000317.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000318.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000319.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000320.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000321.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000322.jpg,1
dataset/Human Faces Dataset\AI-Generated Images\000323.jpg,1
